Código Tarifa;Código Propio;Descripción;Valor
044512;044512;DESCOMPRESION DE NERVIO EN BRAZO VIA ABIERTA;1176600
044518;044518;DESCOMPRESION DE NERVIO EN MANO VIA ABIERTA;1176600
044519;044519;DESCOMPRESION DE NERVIO EN DEDO DE LA MANO VIA ABIERTA;910800
044523;044523;DESCOMPRESION DE NERVIO EN PIERNA VIA ABIERTA;1176600
044525;044525;DESCOMPRESION DE NERVIO EN TOBILLO VIA ABIERTA;910800
044527;044527;DESCOMPRESION DE NERVIO EN PIE VIA ABIERTA;910800
060902;060902;EXTRACCION DE CUERPO EXTRAÑO POR INCISION;1970805
060903;060903;EXPLORACION DE CUELLO O AREA TIROIDEA POR INCISION;1970700
082101;082101;RESECCION DE CHALAZION VIA ANTERIOR;660700
082301;082301;RESECCION DE TUMOR BENIGNO O MALIGNO DE PARPADO, ESPESOR PARCIAL, UN TERCIO;660700
082302;082302;RESECCION DE TUMOR BENIGNO O MALIGNO DE PARPADO, ESPESOR PARCIAL, DOS TERCIOS;660700
082504;082504;ABLACION DE LESION DE PARPADOS;388400
088201;088201;SUTURA SUPERFICIAL DE HERIDA UNICA DE PARPADO;522100
088401;088401;SUTURA PROFUNDA DE HERIDA UNICA DE PARPADO;522100
095001;095001;DRENAJE DEL SACO LAGRIMAL;388400
103101;103101;RESECCION DE LESION O TUMOR BENIGNO DE CONJUNTIVA;910800
103102;103102;RESECCION DE LESION O TUMOR BENIGNO DE CONJUNTIVA CON INJERTO;910800
103103;103103;RESECCION SIMPLE DE PTERIGION (NASAL O TEMPORAL);910800
103104;103104;RESECCION DE PTERIGION (NASAL O TEMPORAL) CON INJERTO;910800
103105;103105;RESECCION DE PTERIGION REPRODUCIDO (NASAL O TEMPORAL) CON INJERTO;1293200
103108;103108;PERITOMIA TOTAL;522100
10M001;10M001;INTERNACIÓN COMPLEJIDAD MEDIANA HABITACION UNIPERSONAL (INCLUYE AISLAMIENTO);249800
10M002;10M002;INTERNACIÓN COMPLEJIDAD MEDIANA HABITACION BIPERSONAL;227400
10M003;10M003;INTERNACIÓN COMPLEJIDAD MEDIANA HABITACION TRES CAMAS;193300
10M004;10M004;INTERNACIÓN COMPLEJIDAD MEDIANA HABITACION CUATRO O MÁS CAMAS;158900
115302;115302;REPARACION DE LACERACION O HERIDA CORNEAL CON INJERTO ESPESOR TOTAL;1293200
121102;121102;IRIDOTOMÍA ASISTIDA;1176600
121301;121301;REDUCCION DE HERNIA DE IRIS;1293200
123002;123002;IRIDOPLASTIA ASISTIDA;1293200
123202;123202;LISIS DE SINEQUIAS ANTERIORES;910800
124201;124201;RESECCION DE TUMOR DE IRIS;1293200
124401;124401;RESECCION DE LESION O TUMOR EN CUERPO CILIAR;1477000
127501;127501;TRABECULOPLASTIA ASISTIDA;1176600
128401;128401;RESECCION DE TUMOR DE LA ESCLEROTICA, VIA ABIERTA;1293200
130001;130001;EXTRACCION INTRACAPSULAR DE CRISTALINO;1970700
130003;130003;EXTRACCION EXTRACAPSULAR ASISTIDA DE CRISTALINO;2673100
136504;136504;CAPSULOTOMÍA MANUAL;1970700
136505;136505;CAPSULOTOMÍA ASISTIDA;1970700
137003;137003;INSERCION DE LENTE INTRAOCULAR EN CAMARA POSTERIOR SOBRE RESTOS CAPSULARES;2220500
138101;138101;EXTRACCION DE LENTE INTRAOCULAR (PSEUDOCRISTALINO) DE CAMARA ANTERIOR O POSTERIOR;2263288
166101;166101;INSERCION SECUNDARIA DE PROTESIS CON FORMACION DE FONDOS DE SACO CONJUNTIVALES;1477000
168301;168301;PLASTIA DE ORBITA CON RECONSTRUCCION DE FONDOS DE SACO CON INJERTOS;1970700
169203;169203;DRENAJE DE COLECCION ANTERIOR DE ORBITA;522100
180100;180100;DRENAJE DE COLECCION DE PABELLON AURICULAR SOD;660700
180200;180200;DRENAJE DE COLECCION DE CONDUCTO AUDITIVO EXTERNO SOD;2415700
180301;180301;EXTRACCION DE CUERPO EXTRAÑO DE CONDUCTO AUDITIVO EXTERNO, CON INCISION;388400
180302;180302;EXTRACCION DE CERUMEN O CUERPO EXTRAÑO DEL CONDUCTO AUDITIVO EXTERNO BAJO VISION MICROSCOPICA O ENDOSCOPICA;36500
181101;181101;BIOPSIA DE AURICULA (PABELLON AURICULAR);388400
181102;181102;BIOPSIA DE CONDUCTO AUDITIVO EXTERNO;388400
181103;181103;BIOPSIA DE OIDO EXTERNO;388400
182100;182100;RESECCION DE FISTULA O QUISTE PREAURICULAR SOD;1176600
182200;182200;RESECCION DE APENDICE PREAURICULAR SOD;388400
182300;182300;RESECCION DE QUISTE DE PABELLON AURICULAR SOD;660700
183101;183101;RESECCION DE TUMOR BENIGNO DE CONDUCTO AUDITIVO EXTERNO;910800
184100;184100;SUTURA DE LACERACION DE PABELLON AURICULAR SOD;522100
185104;185104;PLASTIA EN LOBULO DE OREJA;2220500
187200;187200;REIMPLANTE DE AURICULA (PABELLON AURICULAR) SOD;2263288
202101;202101;DRENAJE DE COLECCION DE MASTOIDES;660700
202301;202301;TIMPANOTOMIA EXPLORATORIA;388400
202401;202401;ASPIRACION DE OIDO MEDIO O CAVIDAD MASTOIDEA;36500
210001;210001;CONTROL DE EPISTAXIS POR ABLACION VIA TRANSNASAL;2263300
210002;210002;CONTROL DE EPISTAXIS POR ABLACION VIA TRANSNASAL ENDOSCOPICA;2263300
210201;210201;CONTROL DE EPISTAXIS, POR TAPONAMIENTO POSTERIOR VIA TRANSNASAL;137500
210202;210202;CONTROL DE EPISTAXIS, POR TAPONAMIENTO POSTERIOR VIA TRANSNASAL ENDOSCOPICA;137500
210203;210203;CONTROL DE EPISTAXIS, POR TAPONAMIENTO ANTERIOR Y POSTERIOR;73400
211301;211301;DRENAJE DE LESION (COLECCION) EN PIRAMIDE NASAL;388400
218001;218001;RESECCION O ABLACION DE LESION DE PIRAMIDE NASAL;388400
218101;218101;SUTURA DE LACERACION DE NARIZ;660700
218201;218201;FISTULECTOMIA GINGIVONASAL;1176600
218403;218403;SEPTORRINOPLASTIA FUNCIONAL PRIMARIA VIA TRANSNASAL;2263300
219201;219201;TURBINECTOMIA VIA TRANSNASAL;910800
219302;219302;TURBINOPLASTIA VIA TRANSNASAL;1176600
219303;219303;TURBINOPLASTIA VIA TRANSNASAL ENDOSCOPICA;1176600
221401;221401;NASOSINUSCOPIA;1293200
223902;223902;ANTROTOMIA MAXILAR EXPLORATORIA VIA OROANTRAL;910800
224104;224104;SINUSOTOMIA FRONTAL VIA CORONAL CON FRONTOTOMIA RADICAL;1293200
226301;226301;FRONTO ETMOIDECTOMIA EXTERNA;1176600
226302;226302;ETMOIDECTOMIA EXTERNA;1176600
226303;226303;ETMOIDECTOMIA ANTERIOR TRANSNASAL;1477000
227001;227001;CURACION DE SENOS PARANASALES VIA TRANSNASAL;22700
227002;227002;CURACION DE SENOS PARANASALES VIA TRANSNASAL ENDOSCOPICA;22700
230101;230101;EXODONCIA DE DIENTE PERMANENTE UNIRRADICULAR;1176600
231100;231100;EXODONCIA QUIRURGICA UNIRRADICULAR SOD;1176600
231200;231200;EXODONCIA QUIRURGICA MULTIRRADICULAR SOD;1176600
232101;232101;OBTURACION DENTAL CON AMALGAMA;22700
232102;232102;OBTURACION DENTAL CON RESINA DE FOTOCURADO;39200
232103;232103;OBTURACION DENTAL CON IONOMERO DE VIDRIO;29000
232401;232401;RECONSTRUCCION DE ANGULO INCISAL, CON RESINA DE FOTOCURADO;99300
232402;232402;RECONSTRUCCION TERCIO INCISAL, CON RESINA DE FOTOCURADO;199500
234101;234101;COLOCACION O APLICACION DE CORONA EN ACERO INOXIDABLE (PARA DIENTES TEMPORALES);35200
234102;234102;COLOCACION O APLICACION DE CORONA EN POLICARBOXILATO (PARA DIENTES TEMPORALES);35200
234201;234201;COLOCACION O INSERCION DE PROTESIS FIJA CADA UNIDAD (PILAR Y PONTICOS);192700
234204;234204;REPARACION DE PROTESIS FIJA;52500
236200;236200;IMPLANTE ALOPLASTICO METALICO SOD;910800
237401;237401;CURETAJE APICAL CON APICECTOMIA Y OBTURACION RETROGADA (CIRUGIA PERIRRADICULAR);114200
237702;237702;RADECTOMIA (AMPUTACION RADICULAR) MULTIPLE;115300
237902;237902;EXPLORACION Y MOVILIZACION DE NERVIO DENTARIO INFERIOR;1477000
240300;240300;ALISADO RADICULAR, CAMPO CERRADO SOD;96600
242101;242101;PLASTIA MUCOGINGIVAL CON INJERTOS PEDICULADOS (COLGAJOS PEDICULADOS);96600
242102;242102;PLASTIA MUCOGINGIVAL CON INJERTO GINGIVAL LIBRE;96600
243103;243103;ESCISION DE LESION BENIGNA NO ENCAPSULADA EN ENCIA HASTA DE TRES CENTIMETROS;1176600
243104;243104;ESCISION DE LESION BENIGNA NO ENCAPSULADA EN ENCIA DE MAS DE TRES CENTIMETROS;1970700
243301;243301;ENUCLEACION DE QUISTE EPIDERMOIDE, VIA INTRAORAL;1176600
243302;243302;ENUCLEACION DE QUISTE EPIDERMOIDE, VIA EXTRAORAL;1477000
243400;243400;GINGIVECTOMIA SOD;115300
244101;244101;ENUCLEACION DE QUISTE ODONTOGENICO HASTA DE TRES CENTIMETROS DE DIAMETRO;1176600
244103;244103;RESECCION DE TUMOR BENIGNO O MALIGNO ODONTOGENICO;1477000
244104;244104;RESECCION DE TUMOR BENIGNO O MALIGNO ODONTOGENICO Y RECONSTRUCCION INMEDIATA CON INJERTO OSEO LIBRE;1970700
244108;244108;MARSUPIALIZACION DE QUISTE ODONTOGENICO;660700
245100;245100;REGULARIZACION DE REBORDES SOD;109900
249100;249100;CONTROL DE HEMORRAGIA DENTAL POS QUIRURGICA SOD;59300
255001;255001;GLOSOPLASTIA CON INJERTO CUTANEO O MUCOSO;1970700
270101;270101;INCISION Y DRENAJE INTRAORAL EN CAVIDAD BUCAL;660700
270102;270102;INCISION Y DRENAJE EXTRAORAL EN CAVIDAD BUCAL;1176600
272101;272101;BIOPSIA DE UVULA;388400
274400;274400;RESECCION DE FOSETAS LABIALES SOD;1176669
274901;274901;REMOCION DE CUERPO EXTRAÑO EN TEJIDOS BLANDOS DE LA BOCA;388400
275201;275201;ESTOMATORRAFIA (SUTURA DE HERIDA EN MUCOSA ORAL) DE MENOS DE CINCO CENTIMETROS;388400
275301;275301;RESECCION INTRAORAL DE FISTULA DE BOCA;522116
275302;275302;RESECCION EXTRAORAL DE FISTULA DE BOCA;910739
275303;275303;CIERRE DE FISTULA OROSINUSAL U ORONASAL, CON COLGAJO PALATINO, LINGUAL O BUCAL;1477000
275304;275304;CIERRE DE FISTULA OROSINUSAL CON SINUSOTOMIA, CON O SIN REMOCION DE CUERPO EXTRAÑO O COLGAJO PALATINO, LINGUAL O BUCAL;1477000
275403;275403;CORRECCION SECUNDARIA DE LABIO FISURADO UNILATERAL;1970700
275601;275601;LIPOINJERTO EN CARA;910800
275902;275902;PROFUNDIZACION DE SURCO VESTIBULAR CON INJERTO CUTANEO;1176600
277201;277201;RESECCION PARCIAL DE UVULA;388400
277301;277301;UVULORRAFIA;388400
282101;282101;AMIGDALECTOMIA VIA ABIERTA;1176600
286101;286101;ADENOIDECTOMIA VIA ABIERTA;910800
286102;286102;ADENOIDECTOMIA VIA ENDOSCOPICA;910800
290301;290301;EXTRACCION DE CUERPO EXTRAÑO ENCLAVADO EN FARINGE VIA ABIERTA;1477000
295201;295201;RESECCION DE FISTULA BRANQUIAL;1970700
2DS001;2DS001;DERECHOS DE SALA DE CIRUGIA (QUIROFANOS);131133
300401;300401;RESECCION O LISIS DE ADHERENCIAS DE LARINGE VIA ANTERIOR [LARINGOFISURA];1477000
319201;319201;DILATACION DE LA TRAQUEA VIA ENDOSCOPICA;388380
320001;320001;RESECCION O ABLACION DE LESION O TEJIDO EN BRONQUIO CON BRONCOPLASTIA VIA ABIERTA;2673104
321001;321001;CIERRE DE FISTULA BRONCOCUTANEA O BRONCOPLEURAL VIA ABIERTA;2415700
332601;332601;BIOPSIA CERRADA DE PULMON VIA PERCUTANEA;660700
332801;332801;BIOPSIA DE PULMON VIA ABIERTA;1176600
340301;340301;TORACOSTOMIA VIA ABIERTA CON RESECCION COSTAL;1477000
341101;341101;EXPLORACION Y DRENAJE DE MEDIASTINO POR MEDIASTINOTOMIA;2263300
348202;348202;SUTURA DE LACERACION DIAFRAGMATICA VIA ABDOMINAL POR LAPAROTOMIA;2415700
389900;389900;FLEBOTOMIA TERAPEUTICA SOD;86100
392701;392701;FORMACION DE FISTULA AV (PERIFERICA) PARA DIALISIS RENAL;2415700
392702;392702;FORMACION DE FISTULA AV (PERIFERICA) PARA DIALISIS RENAL CON PROTESIS [DERIVACION AV POR CANULA EXTERNA DE SCRIBNER] [INSERCION DE CANULA VASO A VASO];1293200
394300;394300;EXTRACCION DE DERIVACION ARTERIOVENOSA PARA DIALISIS RENAL SOD;2415700
401101;401101;BIOPSIA DE GANGLIO LINFATICO SUPERFICIAL;1176600
401102;401102;BIOPSIA DE GANGLIO LINFATICO PROFUNDO;1176600
413101;413101-1;BIOPSIA POR ASPIRACION DE MEDULA OSEA;660700
413101;413101-2;BIOPSIA POR ASPIRACION DE MEDULA OSEA  - PROCEDIMIENTOS;210150
413101;413101-3;BIOPSIA POR ASPIRACION DE MEDULA OSEA  - PROCEDIMIENTOS;374875
413101;413101-4;BIOPSIA POR ASPIRACION DE MEDULA OSEA  - PROCEDIMIENTOS;153251
414201;414201;ESCISION O ABLACION DE LESION O TEJIDO DE BAZO VIA ABIERTA;1476947
414301;414301;ESPLENECTOMIA PARCIAL VIA ABIERTA;1477000
414401;414401;EXTRACCION DE CUERPO EXTRAÑO DEL BAZO VIA ABIERTA;1293272
415102;415102;ESPLENECTOMIA TOTAL VIA ABIERTA;1477000
427401;427401;ESOFAGOCARDIOMIOTOMIA ABDOMINAL O TORACICA [HELLER] VIA ABIERTA;2415700
428100;428100;INSERCION DE TUBO O PROTESIS (STENT) PERMANENTE EN ESOFAGO SOD;2263288
428202;428202;ESOFAGORRAFIA POR TORACOTOMIA;2415700
429401;429401;EXTRACCION DE CUERPO EXTRAÑO O LESION LOCALIZADA EN ESOFAGO CON REPARO PRIMARIO, VIA CERVICAL;2415700
431001;431001;GASTROSTOMIA VIA ABIERTA;1293200
446101;446101;SUTURA DE DESGARRO O HERIDA DE ESTOMAGO [GASTRORRAFIA] VIA ABIERTA;1293200
446201;446201;CIERRE DE GASTROSTOMIA VIA ABIERTA;1476947
446601;446601;CIRUGIA ANTIRREFLUJO GASTRESOFAGICO CON RECONSTRUCCION DEL ESFINTER ESOFAGICO, VIA INFERIOR TRANSTORACICA;2415700
450001;450001;EXTRACCION DE CUERPO EXTRAÑO INTESTINAL POR ENTEROTOMIA VIA ABIERTA;1477000
450601;450601;DRENAJE  DE COLECCION DE DIVERTICULO VIA ABIERTA;1293200
451303;451303;INSERCION ENDOSCOPICA DE DISPOSTIVO DUODENAL;1970805
453100;453100;OTRA ELIMINACION O ESCISION DE LESION DE DUODENO SOD;2116559
457101;457101;COLECTOMIA PARCIAL CON COLOSTOMIA O ILEOSTOMIA Y FISTULA MUCOSA VIA ABIERTA;2415700
457301;457301;HEMICOLECTOMIA DERECHA VIA ABIERTA;2415700
457401;457401;RESECCION DE COLON TRANSVERSO VIA ABIERTA;2415700
459101;459101;ANASTOMOSIS DE INTESTINO DELGADO A INTESTINO DELGADO VIA ABIERTA;1477000
461301;461301;COLOSTOMIA VIA ABIERTA;1477000
465201;465201;CIERRE DE ESTOMA DE INTESTINO GRUESO VIA ABIERTA;1477000
467001;467001;ENTERORRAFIA VIA ABIERTA;1293200
467201;467201;CIERRE DE FISTULA DE DUODENO VIA ABIERTA;1476947
468011;468011;REDUCCION INTESTINAL SIN RESECCION INTESTINAL VIA ABIERTA;1293272
468012;468012;REDUCCION INTESTINAL CON RESECCION INTESTINAL VIA ABIERTA;1476947
471102;471102;APENDICECTOMIA VIA ABIERTA;1176600
480100;480100;PROCTOTOMIA, VIA ABDOMINAL O PERINEAL SOD;1970700
482500;482500;BIOPSIA ABIERTA DE RECTO O SIGMOIDE SOD;910800
483801;483801;EXTRACCION DE CUERPO EXTRAÑO EN RECTO, VIA RECTAL ABIERTA;1477000
483802;483802;EXTRACCION DE CUERPO EXTRAÑO EN RECTO, VIA ABDOMINAL;1477000
487101;487101;SUTURA DE LACERACION DE RECTO [PROCTORRAFIA] VIA ABIERTA;1293200
487301;487301;FISTULECTOMIA RECTO-VAGINAL CON COLOSTOMIA;2263300
487602;487602;CORRECCION DE PROLAPSO POR RESECCION DE PROCIDENCIA RECTAL CON ANASTOMOSIS VIA PERINEAL;2415700
487903;487903;CORRECCION DE ATRESIA RECTAL, VIA SAGITAL POSTERIOR;1970805
488101;488101;DRENAJE DE COLECCION RECTAL;388400
489200;489200;MIOMECTOMIA ANO-RECTAL SOD;660700
490100;490100;DRENAJE DE COLECCION ISQUIORRECTAL SOD;1176600
490201;490201;DRENAJE DE COLECCION PERIANAL VIA ABIERTA;522100
492300;492300;BIOPSIA DE ANO SOD;388400
494001;494001;LIGADURA DE HEMORROIDES;1293200
494003;494003;HEMORROIDOPEXIA;1293272
494300;494300;CAUTERIZACION DE HEMORROIDES SOD;1176600
497101;497101;SUTURA DE LACERACION O DESGARRO DE ANO;388400
497301;497301;FISTULECTOMIA ANO-VESTIBULAR;1176600
497302;497302;FISTULECTOMIA ANO-PERINEAL;1176600
497303;497303;FISTULECTOMIA ANO-VAGINAL;1176600
497503;497503;ESFINTEROPLASTIA ANAL;1970700
502101;502101;DRENAJE DE LESION HEPATICA VIA ABIERTA;1293200
506105;506105;HEPATORRAFIA MULTIPLE VIA ABIERTA;1970700
511500;511500;MEDICION DE LA PRESION DEL ESFINTER DE ODDI SOD;2263300
512101;512101;COLECISTECTOMIA VIA ABIERTA;1970700
512104;512104;COLECISTECTOMIA VIA LAPAROSCOPICA;5902312
530001;530001;HERNIORRAFIA INGUINAL UNILATERAL VIA ABIERTA;1176600
530301;530301;HERNIORRAFIA INGUINAL ENCARCELADA VIA ABIERTA;1293200
530401;530401;HERNIORRAFIA INGUINAL REPRODUCIDA VIA ABIERTA;1293200
530601;530601;HERNIORRAFIA UNILATERAL INGUINO ESCROTAL VIA ABIERTA;1293200
531001;531001;HERNIORRAFIA INGUINAL BILATERAL VIA ABIERTA;1293200
531501;531501;HERNIORRAFIA BILATERAL INGUINAL REPRODUCIDA VIA ABIERTA;1293200
531601;531601;HERNIORRAFIA BILATERAL INGUINAL ENCARCELADA VIA ABIERTA;1293200
531701;531701;HERNIORRAFIA BILATERAL INGUINO ESCROTAL VIA ABIERTA;1293200
534001;534001;HERNIORRAFIA UMBILICAL VIA ABIERTA;910800
534101;534101;HERNIORRAFIA UMBILICAL REPRODUCIDA VIA ABIERTA;910800
534301;534301;HERNIORRAFIA UMBILICAL ENCARCELADA VIA ABIERTA;910800
535001;535001;REPARACION DE HERNIA INCISIONAL (EVENTRACION) ENCARCELADA VIA ABIERTA;1477000
535101;535101;REPARACION DE HERNIA INCISIONAL (EVENTRACION) VIA ABIERTA;1477000
535204;535204;HERNIORRAFIA EPIGASTRICA VIA ABIERTA;910800
535301;535301;HERNIORRAFIA EPIGASTRICA ENCARCELADA VIA ABIERTA;660700
537001;537001;REPARACION DE HERNIA DIAFRAGMATICA VIA ABIERTA;2415700
537301;537301;REPARACION DE HERNIA DIAFRAGMATICA ENCARCELADA VIA ABIERTA;2415700
537304;537304;REPARACION DE HERNIA DIAFRAGMATICA REPRODUCIDA VIA ABIERTA;2415700
540004;540004;DRENAJE DE COLECCION EXTRAPERITONEAL VIA ABIERTA;1293200
540005;540005;DRENAJE DE COLECCION EXTRAPERITONEAL VIA PERCUTANEA;1293200
540007;540007;DRENAJE DE COLECCION RETROPERITONEAL VIA ABIERTA;1293200
540008;540008;DRENAJE DE COLECCION RETROPERITONEAL VIA PERCUTANEA;1293200
540010;540010;DRENAJE DE COLECCION DE LA PARED ABDOMINAL VIA ABIERTA;388400
541601;541601;RESECCIÓN DE LESIÓN BENIGNA O MALIGNA EN EPIPLON O EN MESENTERIO VÍA ABIERTA;1477000
541701;541701;LAVADO PERITONEAL TERAPEUTICO VIA ABIERTA;1176600
541703;541703;LAVADO PERITONEAL DIAGNOSTICO VIA ABIERTA;1176600
541801;541801;MARSUPIALIZACION ABDOMINAL POR PANCREATITIS;1293272
541901;541901;CITORREDUCCION VIA ABIERTA;1476947
542101;542101;LAPAROSCOPIA EXPLORATORIA;660700
542801;542801-1;PARACENTESIS ABDOMINAL DIAGNOSTICA VIA PERCUTANEA - PROCEDIMIENTOS;89320
542801;542801-2;PARACENTESIS ABDOMINAL DIAGNOSTICA VIA PERCUTANEA - PROCEDIMIENTOS;89320
544104;544104;OMENTECTOMIA PARCIAL VIA ABIERTA;1293200
544106;544106;OMENTECTOMIA TOTAL VIA ABIERTA;1293200
545001;545001;LISIS DE ADHERENCIAS PERITONEALES VIA ABIERTA;1477000
546100;546100;NUEVO CIERRE DE DISRUPCION POSTOPERATORIA DE PARED ABDOMINAL (EVISCERACION) SOD;1477000
547401;547401;EVENTRORRAFIA CON COLOCACION DE MALLA;2415700
547403;547403;EVENTRORRAFIA VIA ABIERTA;1477000
549201;549201;EXTRACCION DE CUERPO EXTRAÑO INTRAPERITONEAL (O DIU PERDIDO), POR LAPAROTOMIA;1476947
549501;549501;PLICATURA DE PERITONEO [NOBLE MODIFICADA];2116600
550101;550101;MARSUPIALIZACION DE QUISTE RENAL POR NEFROTOMIA POR VIA ABIERTA;1176600
553102;553102;RESECCION ENDOSCOPICA DE LESION PIELICA;2116600
555721;555721;NEFRECTOMIA RADICAL POR LAPAROSCOPIA;2415700
558101;558101;NEFRORRAFIA O SUTURA DE LACERACION RENAL VIA ABIERTA;1477000
558701;558701;PIELOPLASTIA VIA ABIERTA;2415700
558720;558720;PIELOPLASTIA ENDOSCOPICA (POR ENDOPIELOTOMIA O ANTEROGRADA);2415700
559101;559101;COLOCACION DE DISPOSITIVO (CATETER DOBLE J) ANTEROGRADO DE RIÑON A VEJIGA;1477000
559220;559220;DRENAJE PERCUTANEO DE COLECCION O QUISTE RENAL;2116559
561101;561101;MEATOTOMIA URETERAL VIA ABIERTA;1970700
561102;561102;MEATOTOMIA URETERAL VIA ENDOSCOPICA;1970700
562101;562101;EXPLORACION DE URETER POR URETEROTOMIA (VIA ABIERTA);1970700
564120;564120;ESCISION DE LESION URETERAL O PARA URETERAL;2263300
568201;568201;SUTURA DE LACERACION DE URETER O URETERORRAFIA VIA ABIERTA;1293200
569001;569001;DILATACION DE MEATO URETERAL;660700
569002;569002;DILATACION URETERAL VIA ENDOSCOPICA;660700
571220;571220;CISTOSTOMIA VIA PERCUTANEA;1293200
572101;572101;VESICOSTOMIA (CUTANEA);1477000
573201;573201;CISTOSCOPIA TRANSURETRAL;910800
573301;573301;BIOPSIA UNICA DE VEJIGA TRANSURETRAL;1293200
574202;574202;FULGURACION ENDOSCOPICA DE LESION VESICAL;2263300
575202;575202;RESECCION O FULGURACION SUPRAPUBICA DE LESION VESICAL, VIA ABIERTA;2263300
576060;576060;RESECCION DE CUELLO VESICAL TRANSVESICAL;2263300
576061;576061;RESECCION TRANSURETRAL (ENDOSCOPICA) DE CUELLO VESICAL;2263300
578101;578101;SUTURA DE LACERACION O DESGARRO VESICAL [CISTORRAFIA];1293200
578201;578201;CIERRE DE CISTOSTOMIA (FISTULECTOMIA VESICO-CUTANEA);2116559
578402;578402;FISTULECTOMIA VESICO-VAGINAL;2116600
578703;578703;AMPLIACION DE VEJIGA CON SEGMENTO DE ESTOMAGO;2220576
578901;578901;CISTOPEXIA (SUSPENSION VESICAL);1293200
579102;579102;ESFINTEROTOMIA DE VEJIGA;2263300
579401;579401;INSERCION DE DISPOSITIVO URINARIO (VESICAL);28100
579501;579501;REEMPLAZO DE DISPOSITIVO URINARIO (VESICAL);28100
580050;580050;URETROTOMIA INTERNA ENDOSCOPICA;1477000
581010;581010;MEATOTOMIA URETRAL EXTERNA;660700
582101;582101;URETROSCOPIA PERINEAL;910800
582301;582301;BIOPSIA DE URETRA VIA ABIERTA;910800
583101;583101;FULGURACION ENDOSCOPICA DE LESIONES URETRALES;1970700
583102;583102;ESCISION ENDOSCOPICA DE VALVA CONGENITA DE URETRA;1970700
583201;583201;FULGURACION DE LESIONES URETRALES, VIA ABIERTA;1970805
583202;583202;ESCISION DE VALVA CONGENITA DE URETRA, VIA ABIERTA;1970700
583230;583230;URETRECTOMIA SIMPLE, VIA ABIERTA;1477000
583240;583240;URETRECTOMIA RADICAL, VIA ABIERTA;2415700
584103;584103;URETRORRAFIA PERINEAL;1477000
584200;584200;CIERRE DE URETROSTOMIA SOD;910800
584301;584301;CIERRE DE FISTULA URETRORECTAL;910800
584303;584303;RESECCION DE FISTULA URETROCUTANEA;2116600
